2014-12-11 03:32:45.828000:precionada la tecla número 1
2014-12-11 03:32:46.036000:precionada la tecla número 3
2014-12-11 03:32:46.468000:precionada la tecla número 2
2014-12-11 03:32:46.676000:precionada la tecla número 2
2014-12-11 03:32:46.900000:precionada la tecla número 2
2014-12-11 03:32:47.092000:precionada la tecla número 2
2014-12-11 03:32:47.332000:precionada la tecla número 2
2014-12-11 03:32:47.540000:precionada la tecla número 1
2014-12-11 03:32:47.732000:precionada la tecla número 0
2014-12-11 03:33:07.823000:iniciado modo de juego de la canción: songs/buttons.mp3
2014-12-11 03:33:07.833000:cargada canción con 384 pasos
2014-12-11 03:33:16.920000:precionada la tecla número 1
2014-12-11 03:33:20.536000:precionada la tecla número 1
2014-12-11 03:33:21:precionada la tecla número 2
2014-12-11 03:33:21.528000:precionada la tecla número 2
2014-12-11 03:33:22.024000:precionada la tecla número 2
2014-12-11 03:33:22.520000:precionada la tecla número 2
2014-12-11 03:33:23.032000:precionada la tecla número 2
2014-12-11 03:33:23.544000:precionada la tecla número 2
2014-12-11 03:33:24.040000:precionada la tecla número 2
2014-12-11 03:33:24.424000:precionada la tecla número 1
2014-12-11 03:33:24.904000:precionada la tecla número 2
2014-12-11 03:33:25.448000:precionada la tecla número 2
2014-12-11 03:33:25.976000:precionada la tecla número 2
2014-12-11 03:33:26.520000:precionada la tecla número 2
2014-12-11 03:33:27.016000:precionada la tecla número 2
2014-12-11 03:33:27.512000:precionada la tecla número 2
2014-12-11 03:33:28.008000:precionada la tecla número 2
2014-12-11 03:33:28.232000:precionada la tecla número 1
2014-12-11 03:33:28.457000:precionada la tecla número 1
2014-12-11 03:33:28.985000:precionada la tecla número 2
2014-12-11 03:33:29.481000:precionada la tecla número 2
2014-12-11 03:33:29.945000:precionada la tecla número 2
2014-12-11 03:33:30.425000:precionada la tecla número 2
2014-12-11 03:33:30.937000:precionada la tecla número 2
2014-12-11 03:33:31.481000:precionada la tecla número 2
2014-12-11 03:33:31.977000:precionada la tecla número 2
2014-12-11 03:33:32.249000:precionada la tecla número 1
2014-12-11 03:33:32.441000:precionada la tecla número 1
2014-12-11 03:33:32.953000:precionada la tecla número 2
2014-12-11 03:33:33.464000:precionada la tecla número 2
2014-12-11 03:33:33.960000:precionada la tecla número 2
2014-12-11 03:33:34.440000:precionada la tecla número 2
2014-12-11 03:33:34.920000:precionada la tecla número 2
2014-12-11 03:33:35.385000:precionada la tecla número 2
2014-12-11 03:33:35.784000:precionada la tecla número 2
2014-12-11 03:33:36.200000:precionada la tecla número 1
2014-12-11 03:33:37.016000:precionada la tecla número 2
2014-12-11 03:33:37.432000:precionada la tecla número 1
2014-12-11 03:33:37.672000:precionada la tecla número 2
2014-12-11 03:33:38.184000:precionada la tecla número 3
2014-12-11 03:33:38.728000:precionada la tecla número 2
2014-12-11 03:33:39.272000:precionada la tecla número 3
2014-12-11 03:33:40.312000:precionada la tecla número 2
2014-12-11 03:33:40.424000:precionada la tecla número 3
2014-12-11 03:33:40.712000:precionada la tecla número 2
2014-12-11 03:33:41.240000:precionada la tecla número 3
